Product,New Price,Original Price,Hot Favourite,Product image URL,Upload Time,Store Name
12-Count 0.9-Oz Jack Link's Rotisserie Chicken Meat Bars,$13.65 ,$19 ,0,https://static.slickdealscdn.com/attachment/3/0/4/6/9/4/2/0/200x200/14938768.thumb,about 23 hours ago,Amazon
12-Pack 18.8-Oz Campbell’s Chunky Soup (Savory Vegetable),$16.25 ,$27 ,0,https://static.slickdealscdn.com/attachment/8/1/2/2/7/200x200/14943622.thumb,about 24 hours ago,Amazon
Jos. A. Bank Tailored Fit Tonal Plaid Suit (70%WOOL 27%POLY) $119.99,$119.99 ,$419 ,0,https://slickdeals.net/attachment/2/7/1/9/2/0/5/6/200x200/14934562.thumb,1 day ago,Jos A Bank
Saints Row: The Big Purple Package (Nintendo Switch Digital Download),$4.50 ,$30 ,0,https://static.slickdealscdn.com/attachment/4/8/2/3/7/7/200x200/14943706.thumb,about 24 hours ago,Nintendo
Yamaha AVENTAGE RX-A8A 11.2-Channel AV Receiver,"$1,800 ","$3,550 ",1,https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/200x200/14943649.thumb,about 24 hours ago,Adorama
170-Oz Arm & Hammer Liquid Laundry Detergent (Clean Burst),$9.80 ,$16 ,0,https://slickdeals.net/attachment/3/1/7/4/5/4/0/4/200x200/14941972.thumb,1 day ago,Amazon
DEWALT 20V Max XR Brushless Cordless Router (Tool Only),$120 ,$239 ,0,https://slickdeals.net/attachment/4/6/0/2/4/2/2/200x200/14940373.thumb,1 day ago,Amazon
"Steelbook Blu-ray Films: John Wick: Chapter 2, Ghost in the Shell, Divergent",$6 each,$10 ,0,https://slickdeals.net/attachment/2/7/3/8/6/3/8/7/200x200/14939986.thumb,1 day ago,Best Buy
Costa Farms White Bird of Paradise Plant w/ Modern Decor Planter (3-4' Tall),$28.80 ,$56 ,1,https://slickdeals.net/attachment/4/8/2/3/7/7/200x200/14943226.thumb,1 day ago,Amazon
25-Lb Scotts Turf Builder w/ Moss Control Lawn Fertilizer (5000 sq ft),$16.10 ,$33 ,0,https://slickdeals.net/attachment/2/0/3/1/1/5/0/200x200/14942380.thumb,1 day ago,Amazon
4-Pack The Children's Place Baby Long Sleeve 100% Cotton Bodysuits (Various),$9.25 ,$37 ,0,https://slickdeals.net/attachment/3/0/4/6/9/4/2/0/200x200/14937295.thumb,1 day ago,Amazon
Onkyo TX-NR6050 7.2-Channel 8k Network Smart AV Receiver,$299 ,$749 ,0,https://slickdeals.net/attachment/3/6/9/5/2/8/200x200/14943064.thumb,1 day ago,Adorama
"Dell Inspiron 15 3525 Laptop: Ryzen 7 5700U, 15.6"" FHD 120Hz, 16GB DDR4, 1TB SSD",$450 or Less,$650 ,0,https://slickdeals.net/attachment/2/6/8/0/6/1/2/1/200x200/14933731.thumb,1 day ago,Dell Technologies
"Hisense UST Projectors (Factory Refurb): 120"" L9G TriChroma 4K Laser TV/Projector","$1,749 ","$4,500 ",0,https://slickdeals.net/attachment/9/5/3/2/3/200x200/14909179.thumb,1 day ago,BuyDig
Armored Core: VI Fires of Rubicon (PS4/PS5 or Xbox Series X|S Digital Download),$42 ,$60 ,0,https://slickdeals.net/attachment/8/6/6/3/0/200x200/14930188.thumb,1 day ago,Playstation Store
32-Count Bounty Quick-Size Family Roll Paper Towels + $20 Amazon Credit,$80.65 ,$87 ,1,https://slickdeals.net/attachment/4/5/4/3/2/5/200x200/14942467.thumb,1 day ago,Amazon
New Subscribers: 12-Month PlayStation Plus Plans: Premium $107.20 or Extra,$79.65 ,$135 ,1,https://slickdeals.net/attachment/1/7/4/4/2/6/0/200x200/14939062.thumb,1 day ago,Playstation Store
"Samsung EDU/EPP: 83"" Samsung QN83S90CAEXZA S90C Series OLED TV","$2,450 ","$5,400 ",1,https://slickdeals.net/attachment/1/6/7/9/8/1/2/200x200/14942062.thumb,1 day ago,Samsung
8-Oz Nerds Gummy Clusters Candy (Very Berry or Rainbow),$2.80 ,$4 ,0,https://slickdeals.net/attachment/1/9/1/2/6/8/2/200x200/14940652.thumb,1 day ago,Amazon
4-Pack 4.6oz. Crest Kids Cavity Protection Toothpaste (Sparkle Fun Flavor),$3.20 ,$8 ,0,https://slickdeals.net/attachment/1/6/7/9/8/1/2/200x200/14941987.thumb,1 day ago,Amazon
16-Count RXBAR Minis Protein Bars (Variety Pack),$11.50 ,$23 ,0,https://slickdeals.net/attachment/2/8/2/3/2/8/9/3/200x200/14933893.thumb,1 day ago,Amazon
Nike App: Nike Shoes: Men's Interact Run Road Running Shoes (Navy),$38.25 ,$135 ,1,https://slickdeals.net/attachment/1/1/3/3/5/6/0/200x200/14939788.thumb,1 day ago,Nike
$100 Uber Gift Card (Email Delivery),$90 ,$100 ,0,https://slickdeals.net/attachment/2/8/9/1/1/200x200/14937277.thumb,1 day ago,eGifter
